City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,76.01,82,100,16.98,ZA,1675540299
1,nueva guinea,11.6876,-84.4562,81.34,62,39,16.46,NI,1675540300
2,sulangan,11.1373,123.7228,78.87,84,84,15.61,PH,1675540300
3,comodoro rivadavia,-45.8667,-67.5,76.86,44,0,16.11,AR,1675540095
4,lata,40.1629,-8.3327,53.82,74,0,3.83,PT,1675540301
5,rikitea,-23.1203,-134.9692,78.53,76,3,15.75,PF,1675540301
6,hambantota,6.1241,81.1185,75.76,86,11,12.08,LK,1675540302
7,ushuaia,-54.8,-68.3,55.06,50,0,2.3,AR,1675540073
8,bilibino,68.0546,166.4372,-34.37,98,18,4.9,RU,1675540303
9,punta arenas,-53.15,-70.9167,50.11,93,100,12.66,CL,1675540025
10,hobart,-42.8794,147.3294,56.26,71,20,10.36,AU,1675540289
11,albany,42.6001,-73.9662,10.81,41,54,1.99,US,1675540260
12,boksitogorsk,59.474,33.8485,24.6,95,97,6.62,RU,1675540304
13,teguldet,57.3064,88.1667,-8.43,100,100,0.81,RU,1675540304
14,cape town,-33.9258,18.4232,72.1,83,20,12.66,ZA,1675540206
15,namibe,-15.1961,12.1522,70.99,77,30,9.62,AO,1675540305
16,qaanaaq,77.484,-69.3632,-1.97,66,100,5.55,GL,1675540305
17,lebu,-37.6167,-73.65,66.16,79,51,10.85,CL,1675540306
18,khatanga,71.9667,102.5,-37.71,100,54,4.9,RU,1675540306
19,nikolskoye,59.7035,30.7861,28.29,92,100,7.99,RU,1675540307
20,khorramshahr,30.4397,48.1664,57.16,62,0,0.0,IR,1675540307
21,bato,13.3528,123.3677,72.12,95,57,3.51,PH,1675540307
22,chokurdakh,70.6333,147.9167,-29.87,99,51,7.78,RU,1675540308
23,opuwo,-18.0607,13.84,74.3,29,88,1.88,NA,1675540308
24,bredasdorp,-34.5322,20.0403,71.67,81,0,3.98,ZA,1675540308
25,elat,29.5581,34.9482,60.64,41,0,4.61,IL,1675540309
